cid,blend,nco_oh,mdi_fraction,property_score,robust_score,state_score,state_robust_score,state_nominal_rank,state_robust_rank
WO_INV_0440,PPG1000:60+PPG700:40,2.2,0.3920713951353554,0.0086396832782762,0.0387997571388681,0.5393060143189103,4.379467271575667,56.0,55.0
WO_INV_0309,PPG1000:70+PPG400:30,1.9,0.4080874491602611,0.0306215727626316,0.0764181377447002,0.6276203397903144,4.444997522916307,64.0,56.0
WO_INV_0054,PPG700:100,2.0,0.4169096209912536,0.0413346055456076,0.0878952127210161,0.8498292688660545,4.456872264395051,87.0,57.0
WO_INV_0581,PPG2000:60+PPG400:40,1.9,0.3819979080629188,0.0038488716039611,0.0350565019986025,0.25170260659342675,4.497062292231332,25.0,58.0
WO_INV_0563,PPG2000:50+PPG400:50,1.7,0.3895506329596874,0.0146450918398453,0.0577472440762677,0.29722796705199717,4.508553300065989,29.0,59.0
WO_INV_0471,PPG1000:80+PPG700:20,2.1,0.3632884876191446,0.0024040654790162,0.0282424183323682,0.3960230047573275,4.5571394982822815,41.0,60.0
WO_INV_0344,PPG1000:90+PPG400:10,2.2,0.38767981165031,0.0068777384423217,0.0366831092157506,0.5337379383086494,4.586185367055963,54.0,61.0
WO_INV_0456,PPG1000:70+PPG700:30,2.2,0.3832243182315807,0.0054985854119362,0.0336125902368642,0.5358821287284028,4.611473173588857,55.0,62.0
WO_INV_0663,PPG2000:20+PPG700:80,2.1,0.3950951288522989,0.0084783095186822,0.041564308571678,0.48356131881670206,4.645384539377243,49.0,63.0
WO_INV_0053,PPG700:100,1.9,0.4044960547863629,0.0338227451655971,0.0803916322680886,0.6994503563235984,4.679498123914931,71.0,64.0
WO_INV_0355,PPG1000:10+PPG700:90,1.7,0.3708782696635928,0.0137839769347382,0.0544585022052894,0.32736171920187934,4.682383422869718,32.0,65.0
WO_INV_0648,PPG2000:10+PPG700:90,2.2,0.4237565025477165,0.0295870504677061,0.0722772555254204,0.8428436011549166,4.6924619646630825,85.0,66.0
WO_INV_0308,PPG1000:70+PPG400:30,1.8,0.3950951288522989,0.0242291753782828,0.0698623682327055,0.5023667363373315,4.708697479918659,51.0,67.0
WO_INV_0566,PPG2000:50+PPG400:50,2.0,0.428816221619306,0.0330065360758694,0.0812195454571565,0.7853510392994296,4.754163193991435,79.0,68.0
WO_INV_0677,PPG2000:30+PPG700:70,1.9,0.3535024409323465,0.0024868714413723,0.030807026077419,0.3061761455486015,4.764354812696734,31.0,69.0
WO_INV_0582,PPG2000:60+PPG400:40,2.0,0.3941780510707903,0.0069659618693382,0.0412102168084004,0.4181254309920722,4.8517975837329965,44.0,70.0
WO_INV_0487,PPG1000:90+PPG700:10,2.1,0.3540249895432795,0.003385103254985,0.0312092997918839,0.4684607285316139,4.860496071768665,47.0,71.0
WO_INV_0472,PPG1000:80+PPG700:20,2.2,0.3741159387635035,0.003885466580987,0.0302945441552288,0.5651799392815037,4.8755219761688755,57.0,72.0
WO_INV_0393,PPG1000:30+PPG700:70,2.3,0.4279986100366224,0.0341969189713327,0.0776573015013738,1.0092929913722575,4.8942167465589765,94.0,73.0
WO_INV_0409,PPG1000:40+PPG700:60,2.3,0.4198122512445027,0.0257419795558811,0.0661370468288727,0.8985678163691108,4.901988569836977,91.0,74.0
WO_INV_0425,PPG1000:50+PPG700:50,2.3,0.4113881674306357,0.0187020120683597,0.0560105557329925,0.8201219474991746,4.9283113011125455,82.0,75.0
WO_INV_0052,PPG700:100,1.8,0.3915424399148159,0.0272446618012431,0.073751910698072,0.5921923424692954,4.960020763467055,60.0,76.0
WO_INV_0664,PPG2000:20+PPG700:80,2.2,0.4062656782969325,0.0129084098779928,0.0486004058575326,0.7079236913638813,5.027080779346992,72.0,77.0
