scale,winner,n_admissible,winner_score
1.1075,WO_INV_0420,109,0.026034063518720958
1.11,WO_INV_0420,109,0.02613459283672433
1.1125,WO_INV_0420,109,0.02623531876272769
1.115,WO_INV_0420,109,0.026336241296731053
1.1175,WO_INV_0420,109,0.026437360438734417
1.12,WO_INV_0420,109,0.026538676188737786
1.1225,WO_INV_0420,109,0.026640188546741148
1.125,WO_INV_0420,109,0.02674189751274451
1.1275,WO_INV_0420,109,0.02684380308674787
1.1300000000000001,WO_INV_0420,109,0.026945905268751243
1.1325,WO_INV_0420,108,0.0270482040587546
1.135,WO_INV_0420,108,0.02715069945675796
1.1375,WO_INV_0420,107,0.027253391462761324
1.1400000000000001,WO_INV_0420,107,0.027356280076764695
1.1425,WO_INV_0420,106,0.02745936529876806
1.145,WO_INV_0420,106,0.02756264712877142
1.1475,WO_INV_0420,106,0.02766612556677478
1.1500000000000001,WO_INV_0420,106,0.027769800612778152
1.1525,WO_INV_0420,105,0.027873672266781512
1.155,WO_INV_0420,105,0.02797774052878487
1.1575,WO_INV_0420,104,0.028082005398788232
1.16,WO_INV_0420,104,0.02818646687679159
1.1625,WO_INV_0420,104,0.028291124962794966
1.165,WO_INV_0420,104,0.028395979656798326
1.1675,WO_INV_0420,104,0.028501030958801687
1.17,WO_INV_0420,104,0.02860627886880505
1.1725,WO_INV_0420,103,0.02871172338680842
1.175,WO_INV_0420,103,0.028817364512811784
1.1775,WO_INV_0420,103,0.028923202246815147
1.18,WO_INV_0420,103,0.029029236588818508
1.1825,WO_INV_0420,102,0.029135467538821874
1.185,WO_INV_0420,102,0.029241895096825232
1.1875,WO_INV_0420,102,0.0293485192628286
1.19,WO_INV_0420,102,0.029455340036831958
1.1925000000000001,WO_INV_0420,102,0.029562357418835332
1.195,WO_INV_0420,102,0.029669571408838694
1.1975,WO_INV_0420,101,0.029776982006842055
1.2,WO_INV_0420,101,0.029884589212845415
1.2025000000000001,WO_INV_0420,101,0.029992393026848786
1.205,WO_INV_0420,101,0.03010039344885215
1.2075,WO_INV_0420,101,0.03020859047885551
1.21,WO_INV_0420,101,0.030316984116858868
1.2125000000000001,WO_INV_0420,101,0.03042557436286224
1.215,WO_INV_0420,100,0.0305343612168656
1.2175,WO_INV_0420,100,0.03064334467886896
1.22,WO_INV_0420,100,0.03075252474887232
1.2225,WO_INV_0420,100,0.030861901426875688
1.225,WO_INV_0420,99,0.030971474712879057
1.2275,WO_INV_0420,99,0.03108124460688242
1.23,WO_INV_0420,99,0.03119121110888578
1.2325,WO_INV_0420,98,0.03130137421888914
1.235,WO_INV_0420,98,0.03141173393689251
1.2375,WO_INV_0420,98,0.03152229026289587
1.24,WO_INV_0420,97,0.03163304319689923
1.2425,WO_INV_0420,97,0.03174399273890259
1.245,WO_INV_0420,97,0.03185513888890597
1.2475,WO_INV_0420,96,0.03196648164690933
1.25,WO_INV_0420,96,0.03207802101291269
1.2525,WO_INV_0420,96,0.03218975698691605
1.2550000000000001,WO_INV_0420,96,0.03230168956891942
1.2575,WO_INV_0420,96,0.03241381875892278
1.26,WO_INV_0420,96,0.032526144556926144
1.2625,WO_INV_0420,96,0.03263866696292951
1.2650000000000001,WO_INV_0420,95,0.032751385976932876
1.2675,WO_INV_0420,95,0.03286430159893623
1.27,WO_INV_0420,94,0.0329774138289396
1.2725,WO_INV_0420,94,0.03309072266694296
1.2750000000000001,WO_INV_0420,94,0.033204228112946335
1.2775,WO_INV_0420,94,0.03331793016694969
1.28,WO_INV_0420,94,0.033431828828953056
1.2825,WO_INV_0420,94,0.03354592409895642
1.285,WO_INV_0420,94,0.03366021597695978
1.2875,WO_INV_0420,93,0.03377470446296315
1.29,WO_INV_0420,93,0.033889389556966514
1.2925,WO_INV_0420,93,0.03400427125896987
1.295,WO_INV_0420,92,0.03411934956897323
1.2975,WO_INV_0420,92,0.0342346244869766
1.3,WO_INV_0420,91,0.03435009601297996
1.3025,WO_INV_0420,91,0.034465764146983324
1.305,WO_INV_0420,91,0.034581628888986686
1.3075,WO_INV_0420,91,0.03469769023899005
1.31,WO_INV_0420,91,0.03481394819699342
1.3125,WO_INV_0420,90,0.034930402762996776
1.315,WO_INV_0420,90,0.03504705393700014
1.3175000000000001,WO_INV_0420,89,0.035163901719003514
1.32,WO_INV_0420,89,0.03528094610900687
1.3225,WO_INV_0420,89,0.03539818710701023
1.325,WO_INV_0420,89,0.03551562471301359
1.3275000000000001,WO_INV_0420,88,0.035633258927016964
1.33,WO_INV_0420,87,0.03575108974902033
1.3325,WO_INV_0420,87,0.03586911717902369
1.335,WO_INV_0420,87,0.03598734121702705
1.3375000000000001,WO_INV_0420,87,0.036105761863030425
1.34,WO_INV_0420,86,0.036224379117033786
1.3425,WO_INV_0420,84,0.036343192979037146
1.345,WO_INV_0420,84,0.036462203449040505
1.3475,WO_INV_0420,84,0.03658141052704386
1.35,WO_INV_0420,84,0.03670081421304723
1.3525,WO_INV_0420,84,0.0368204145070506
1.355,WO_INV_0420,84,0.03694021140905396
1.3575,WO_INV_0420,84,0.037060204919057316
1.36,WO_INV_0420,83,0.03718039503706069
1.3625,WO_INV_0437,81,0.03819012479798142
1.365,WO_INV_0437,81,0.03831049226358095
1.3675,WO_INV_0437,81,0.03843104997433642
1.37,WO_INV_0437,80,0.03855179793024785
1.3725,WO_INV_0437,78,0.038672736131315236
1.375,WO_INV_0437,77,0.03879386457753857
