source_candidate_id,blend,nco_oh,mdi_parts,PPG400,PPG700,PPG1000,PPG2000,mdi_fraction_total
WO_INV_0247,PPG1000:30+PPG400:70,2.1,107.732625,70,0,30,0,0.5186119657
WO_INV_0248,PPG1000:30+PPG400:70,2.2,112.86275,70,0,30,0,0.5302137175
WO_INV_0249,PPG1000:30+PPG400:70,2.3,117.992875,70,0,30,0,0.5412694108
WO_INV_0250,PPG1000:30+PPG400:70,2.4,123.123,70,0,30,0,0.551816711
WO_INV_0251,PPG1000:30+PPG400:70,2.5,128.253125,70,0,30,0,0.5618898975
WO_INV_0252,PPG1000:30+PPG400:70,2.6,133.38325,70,0,30,0,0.5715202355
WO_INV_0253,PPG1000:30+PPG400:70,2.7,138.513375,70,0,30,0,0.5807363004
WO_INV_0254,PPG1000:30+PPG400:70,2.8,143.6435,70,0,30,0,0.5895642609
WO_INV_0255,PPG1000:30+PPG400:70,2.9,148.773625,70,0,30,0,0.598028127
WO_INV_0256,PPG1000:30+PPG400:70,3,153.90375,70,0,30,0,0.6061499682
WO_INV_0257,PPG1000:40+PPG400:60,1.5,71.32125,60,0,40,0,0.4163012469
WO_INV_0258,PPG1000:40+PPG400:60,1.6,76.076,60,0,40,0,0.4320634272
WO_INV_0259,PPG1000:40+PPG400:60,1.7,80.83075,60,0,40,0,0.4469967082
WO_INV_0260,PPG1000:40+PPG400:60,1.8,85.5855,60,0,40,0,0.4611648001
WO_INV_0261,PPG1000:40+PPG400:60,1.9,90.34025,60,0,40,0,0.4746250465
WO_INV_0262,PPG1000:40+PPG400:60,2,95.095,60,0,40,0,0.4874292012
WO_INV_0263,PPG1000:40+PPG400:60,2.1,99.84975,60,0,40,0,0.4996240926
WO_INV_0264,PPG1000:40+PPG400:60,2.2,104.6045,60,0,40,0,0.5112521963
WO_INV_0265,PPG1000:40+PPG400:60,2.3,109.35925,60,0,40,0,0.5223521292
WO_INV_0266,PPG1000:40+PPG400:60,2.4,114.114,60,0,40,0,0.5329590779
WO_INV_0267,PPG1000:40+PPG400:60,2.5,118.86875,60,0,40,0,0.5431051715
WO_INV_0268,PPG1000:40+PPG400:60,2.6,123.6235,60,0,40,0,0.5528198065
WO_INV_0269,PPG1000:40+PPG400:60,2.7,128.37825,60,0,40,0,0.5621299314
WO_INV_0270,PPG1000:40+PPG400:60,2.8,133.133,60,0,40,0,0.5710602961
WO_INV_0271,PPG1000:40+PPG400:60,2.9,137.88775,60,0,40,0,0.5796336718
WO_INV_0272,PPG1000:40+PPG400:60,3,142.6425,60,0,40,0,0.5878710448
WO_INV_0273,PPG1000:50+PPG400:50,1.5,65.690625,50,0,50,0,0.3964655514
WO_INV_0274,PPG1000:50+PPG400:50,1.6,70.07,50,0,50,0,0.4120068207
WO_INV_0275,PPG1000:50+PPG400:50,1.7,74.449375,50,0,50,0,0.4267677944
WO_INV_0276,PPG1000:50+PPG400:50,1.8,78.82875,50,0,50,0,0.4408057988
WO_INV_0277,PPG1000:50+PPG400:50,1.9,83.208125,50,0,50,0,0.4541726793
WO_INV_0278,PPG1000:50+PPG400:50,2,87.5875,50,0,50,0,0.4669154395
WO_INV_0279,PPG1000:50+PPG400:50,2.1,91.966875,50,0,50,0,0.4790767938
WO_INV_0280,PPG1000:50+PPG400:50,2.2,96.34625,50,0,50,0,0.4906956461
WO_INV_0281,PPG1000:50+PPG400:50,2.3,100.725625,50,0,50,0,0.5018075046
WO_INV_0282,PPG1000:50+PPG400:50,2.4,105.105,50,0,50,0,0.5124448453
WO_INV_0283,PPG1000:50+PPG400:50,2.5,109.484375,50,0,50,0,0.5226374282
WO_INV_0284,PPG1000:50+PPG400:50,2.6,113.86375,50,0,50,0,0.5324125758
WO_INV_0285,PPG1000:50+PPG400:50,2.7,118.243125,50,0,50,0,0.5417954174
WO_INV_0286,PPG1000:50+PPG400:50,2.8,122.6225,50,0,50,0,0.5508091051
WO_INV_0287,PPG1000:50+PPG400:50,2.9,127.001875,50,0,50,0,0.5594750043
WO_INV_0288,PPG1000:50+PPG400:50,3,131.38125,50,0,50,0,0.567812863
WO_INV_0289,PPG1000:60+PPG400:40,1.5,60.06,40,0,60,0,0.3752342871
WO_INV_0290,PPG1000:60+PPG400:40,1.6,64.064,40,0,60,0,0.3904817632
WO_INV_0291,PPG1000:60+PPG400:40,1.7,68.068,40,0,60,0,0.405002737
WO_INV_0292,PPG1000:60+PPG400:40,1.8,72.072,40,0,60,0,0.4188479241
WO_INV_0293,PPG1000:60+PPG400:40,1.9,76.076,40,0,60,0,0.4320634272
WO_INV_0294,PPG1000:60+PPG400:40,2,80.08,40,0,60,0,0.4446912483
WO_INV_0295,PPG1000:60+PPG400:40,2.1,84.084,40,0,60,0,0.4567697356
WO_INV_0296,PPG1000:60+PPG400:40,2.2,88.088,40,0,60,0,0.4683339713
WO_INV_0297,PPG1000:60+PPG400:40,2.3,92.092,40,0,60,0,0.4794161131
