cid,blend,nco_oh,mdi_parts,eta80,eta120,ratio,domain_ratio,unc_radius,in_domain,mdi_fraction,PPG1000,PPG2000,PPG400,PPG700,property_score,broad_margin,ea_two_point_kj_mol,check_nco_oh,check_mdi_fraction,check_eta80_broad,check_eta120_broad,check_ratio_broad,check_eta80_preferred,check_eta120_preferred,check_ratio_preferred,check_chemistry_in_domain,feasible_nominal,property_rank,nominal_rank,robust_check_interval_inside_broad,robust_check_domain_ratio_max,feasible_robust,robust_score,robust_rank
WO_INV_0747,PPG2000:70+PPG700:30,2.5,48.709375,5.5788848662,0.501990719,11.1135219335,0.7870243345,0.0591847787,True,0.3275474394267342,0.0,70.0,0.0,30.0,0.06550049005216323,0.15678679833012207,69.49882853780255,True,False,True,True,True,False,True,False,True,False,395.0,,False,True,False,0.1512770207873953,
WO_INV_0827,PPG400:30+PPG700:70,2.5,109.484375,1.6531692946,0.207499178,7.9671125005,0.6732311323,0.0555433962,True,0.5226374282091445,0.0,0.0,30.0,70.0,0.20096459932605068,0.2599535629832963,59.893156460621064,True,False,True,True,True,False,False,True,True,False,672.0,,True,True,False,0.29211632931750026,
WO_INV_0516,PPG2000:20+PPG400:80,1.8,94.5945,1.6485259137,0.2344144978,7.0325254162,0.9040211633,0.0629286772,True,0.4861108613038909,0.0,20.0,80.0,0.0,0.175687353162719,0.15878640625322585,56.29215222168788,True,True,True,True,True,False,False,True,True,False,635.0,,False,True,False,0.2888751193458349,
WO_INV_0841,PPG400:40+PPG700:60,2.3,106.89249999999998,1.6050148949,0.2113977559,7.5923932482,0.6149145981,0.0536772671,True,0.5166572012035235,0.0,0.0,40.0,60.0,0.2053289103609398,0.23538738844623058,58.50283294215911,True,False,True,True,True,False,False,True,True,False,680.0,,False,True,False,0.29781973220490554,
WO_INV_0706,PPG2000:50+PPG700:50,1.6,38.61,5.2817768236,0.5780991878,9.136454323,0.8132125894,0.0600228029,True,0.2785513310727941,0.0,50.0,0.0,50.0,0.053392712826157034,0.3248662685277249,63.84549841586892,True,False,True,True,True,True,True,True,True,False,358.0,,True,True,False,0.12476650074764493,
WO_INV_0193,PPG1000:90+PPG2000:10,1.5,35.660625,5.1776369,0.592443036,8.739467907,0.8417927329,0.0609373675,True,0.2628664360052889,90.0,10.0,0.0,0.0,0.05177118568544756,0.3003570010527094,62.563462235549856,True,False,True,True,True,True,True,True,True,False,349.0,,True,True,False,0.12010753091266672,
WO_INV_0140,PPG1000:50+PPG2000:50,2.6,48.798750000000005,5.6628990992,0.4988850003,11.3511111698,0.826635744,0.0604523438,True,0.32795134367728224,50.0,50.0,0.0,0.0,0.0703740820397047,0.13563371790315124,70.10929991148528,True,False,True,True,True,False,True,False,True,False,410.0,,False,True,False,0.16112785757629944,
WO_INV_0152,PPG1000:60+PPG2000:40,2.2,44.044,5.7253363707,0.546492623,10.4765117213,0.6199401986,0.0538380864,True,0.305767682097137,60.0,40.0,0.0,0.0,0.070759855443812,0.21581358499682937,67.79533368466286,True,False,True,True,True,False,True,False,True,False,414.0,,False,True,False,0.14672349956521274,
WO_INV_0245,PPG1000:30+PPG400:70,1.9,97.472375,1.579640771,0.2256323027,7.0009513352,0.7734366027,0.0587499713,True,0.4936000541847942,30.0,0.0,70.0,0.0,0.19712977579556468,0.15428657562157796,56.16228850064096,True,False,True,True,True,False,False,True,True,False,668.0,,False,True,False,0.3059143680325829,
WO_INV_0868,PPG400:60+PPG700:40,1.8,93.3075,1.5674389938,0.230230781,6.8081209076,0.799793517,0.0595933925,True,0.482689497303519,0.0,0.0,60.0,40.0,0.1964756768369912,0.12635668152104026,55.35624037243837,True,True,True,True,True,False,False,False,True,False,667.0,,False,True,False,0.3093720464005787,
